"","ACH_M3","ACH_P6","SOC","GENDER","ID","SID","PID"
"1",10,111,0,"Male",1,"9","1"
"2",3,100,0,"Female",2,"9","1"
"3",2,86,0,"Male",3,"9","1"
"4",3,94,20,"Male",4,"9","1"
"5",2,70,0,"Female",5,"9","1"
"6",2,83,0,"Female",6,"9","1"
"7",4,83,0,"Female",7,"1","1"
"8",6,89,0,"Male",8,"1","1"
"9",4,91,0,"Male",9,"9","1"
"10",2,81,0,"Male",10,"9","1"
"11",3,83,0,"Male",11,"9","1"
"12",6,98,0,"Female",12,"9","1"
"13",2,76,0,"Female",13,"9","1"
"14",3,70,0,"Male",14,"9","1"
"15",6,94,0,"Female",15,"9","1"
"16",2,78,0,"Female",16,"9","1"
"17",9,101,20,"Female",17,"1","1"
"18",10,93,0,"Male",18,"9","1"
"19",2,83,20,"Male",19,"9","1"
"20",3,70,0,"Male",20,"9","1"
"21",6,91,0,"Female",21,"9","1"
"22",2,70,0,"Male",22,"9","1"
"23",2,75,0,"Female",23,"9","1"
"24",3,86,0,"Female",24,"9","1"
"25",4,105,0,"Female",25,"9","1"
"26",4,96,31,"Female",26,"9","1"
"27",2,81,0,"Female",27,"9","1"
"28",5,90,0,"Female",28,"9","1"
"29",3,95,0,"Male",29,"9","1"
"30",10,121,0,"Male",30,"9","1"
"31",4,96,0,"Female",31,"9","1"
"32",5,92,0,"Female",32,"9","1"
"33",1,70,0,"Male",33,"9","1"
"34",4,98,0,"Male",34,"9","1"
"35",4,92,1,"Female",35,"9","1"
"36",2,85,0,"Female",36,"9","1"
"37",8,101,31,"Male",37,"1","1"
"38",1,70,0,"Male",38,"18","1"
"39",2,76,0,"Female",39,"1","1"
"40",2,88,0,"Male",40,"9","1"
"41",6,83,0,"Female",41,"1","1"
"42",10,102,20,"Male",42,"9","1"
"43",9,107,0,"Female",43,"9","1"
"44",8,109,20,"Female",44,"9","1"
"45",6,100,0,"Male",45,"9","1"
"46",3,81,0,"Male",46,"9","1"
"47",10,103,0,"Male",47,"9","1"
"48",6,103,0,"Female",48,"1","1"
"49",9,112,0,"Male",49,"9","1"
"50",2,71,0,"Female",50,"1","1"
"51",3,89,0,"Female",51,"9","1"
"52",3,96,31,"Female",52,"9","1"
"53",4,101,31,"Female",53,"9","1"
"54",2,74,0,"Female",54,"9","1"
"55",10,114,0,"Female",55,"7","2"
"56",2,84,0,"Male",56,"7","2"
"57",4,95,0,"Male",57,"7","2"
"58",7,89,20,"Female",58,"7","2"
"59",2,102,0,"Male",59,"7","2"
"60",2,72,0,"Female",60,"7","2"
"61",10,120,0,"Female",61,"7","2"
"62",10,99,1,"Female",62,"5","3"
"63",10,127,0,"Male",63,"5","3"
"64",6,100,0,"Female",64,"5","3"
"65",2,84,31,"Female",65,"9","4"
"66",6,101,0,"Female",66,"9","4"
"67",3,80,0,"Female",67,"9","4"
"68",7,103,20,"Male",68,"9","4"
"69",9,117,0,"Male",69,"9","4"
"70",7,102,0,"Female",70,"9","4"
"71",10,107,20,"Female",71,"6","4"
"72",1,81,0,"Male",72,"1","5"
"73",2,85,0,"Female",73,"1","5"
"74",1,81,0,"Male",74,"1","5"
"75",2,75,0,"Male",75,"1","5"
"76",3,84,0,"Male",76,"1","5"
"77",4,90,0,"Female",77,"1","5"
"78",5,112,0,"Male",78,"1","5"
"79",7,102,0,"Female",79,"1","5"
"80",2,80,0,"Female",80,"1","5"
"81",2,83,0,"Female",81,"1","5"
"82",8,106,0,"Female",82,"1","5"
"83",9,106,0,"Female",83,"1","5"
"84",6,104,0,"Male",84,"1","5"
"85",2,96,0,"Male",85,"1","5"
"86",4,96,0,"Female",86,"1","5"
"87",2,83,0,"Male",87,"1","5"
"88",2,90,0,"Male",88,"1","5"
"89",10,102,0,"Female",89,"1","5"
"90",7,93,1,"Female",90,"1","5"
"91",7,93,0,"Female",91,"1","5"
"92",4,100,20,"Male",92,"1","5"
"93",2,84,0,"Female",93,"1","5"
"94",2,92,0,"Male",94,"1","5"
"95",5,108,31,"Male",95,"1","5"
"96",7,96,31,"Female",96,"1","5"
"97",10,101,31,"Female",97,"1","5"
"98",10,120,20,"Female",98,"1","5"
"99",1,70,0,"Female",99,"1","5"
"100",5,93,0,"Female",100,"1","5"
"101",9,101,0,"Male",101,"1","5"
"102",3,88,0,"Male",102,"1","5"
"103",6,81,0,"Female",103,"1","5"
"104",2,89,0,"Female",104,"1","5"
"105",9,100,0,"Male",105,"1","5"
"106",3,96,0,"Male",106,"1","5"
"107",10,101,0,"Male",107,"1","5"
"108",3,75,0,"Male",108,"1","5"
"109",3,92,0,"Female",109,"1","5"
"110",3,91,0,"Male",110,"1","5"
"111",2,70,0,"Male",111,"1","5"
"112",8,111,0,"Female",112,"1","5"
"113",9,116,20,"Male",113,"1","5"
"114",2,74,0,"Male",114,"1","5"
"115",2,84,0,"Female",115,"1","5"
"116",6,106,0,"Female",116,"1","5"
"117",10,112,31,"Female",117,"1","5"
"118",3,77,0,"Male",118,"1","5"
"119",3,81,0,"Male",119,"1","5"
"120",2,81,0,"Female",120,"1","5"
"121",9,107,20,"Male",121,"1","5"
"122",1,84,0,"Male",122,"1","5"
"123",5,96,0,"Female",123,"1","5"
"124",3,107,0,"Female",124,"1","5"
"125",9,85,1,"Male",125,"5","6"
"126",2,103,0,"Female",126,"5","6"
"127",4,95,31,"Male",127,"5","6"
"128",10,110,20,"Male",128,"5","6"
"129",9,108,20,"Male",129,"5","6"
"130",6,98,0,"Male",130,"5","6"
"131",7,108,0,"Female",131,"5","6"
"132",9,96,20,"Female",132,"5","6"
"133",4,80,0,"Male",133,"5","6"
"134",10,93,0,"Female",134,"5","6"
"135",7,99,0,"Female",135,"5","6"
"136",4,82,20,"Male",136,"5","6"
"137",10,96,20,"Male",137,"5","6"
"138",2,79,0,"Male",138,"5","6"
"139",4,89,0,"Male",139,"5","6"
"140",9,98,0,"Female",140,"5","6"
"141",2,85,0,"Male",141,"5","6"
"142",3,93,0,"Male",142,"5","6"
"143",6,107,31,"Male",143,"3","6"
"144",4,92,0,"Female",144,"5","6"
"145",5,96,0,"Female",145,"5","6"
"146",2,81,0,"Male",146,"5","6"
"147",5,92,0,"Male",147,"5","6"
"148",6,103,20,"Female",148,"5","6"
"149",2,94,0,"Male",149,"5","6"
"150",3,78,0,"Male",150,"5","6"
"151",3,78,0,"Male",151,"5","6"
"152",2,96,0,"Male",152,"5","6"
"153",10,105,0,"Male",153,"5","6"
"154",10,127,20,"Male",154,"5","6"
"155",6,92,0,"Male",155,"5","6"
"156",6,99,20,"Female",156,"5","6"
"157",4,84,0,"Male",157,"5","6"
"158",2,70,0,"Male",158,"5","6"
"159",2,70,0,"Male",159,"5","6"
"160",8,99,20,"Male",160,"5","6"
"161",10,118,20,"Female",161,"5","6"
"162",6,95,0,"Female",162,"5","6"
"163",2,86,0,"Female",163,"5","6"
"164",2,88,31,"Female",164,"5","6"
"165",9,89,0,"Female",165,"5","6"
"166",3,98,0,"Female",166,"5","6"
"167",10,107,0,"Female",167,"5","6"
"168",8,99,31,"Male",168,"5","6"
"169",9,99,20,"Female",169,"5","6"
"170",2,83,0,"Female",170,"5","6"
"171",9,114,1,"Male",171,"1","6"
"172",3,89,20,"Female",172,"11","6"
"173",10,98,20,"Male",173,"5","6"
"174",8,96,20,"Male",174,"5","6"
"175",8,89,20,"Male",175,"5","6"
"176",8,106,1,"Male",176,"5","6"
"177",2,99,0,"Female",177,"5","6"
"178",10,107,20,"Female",178,"5","6"
"179",10,118,0,"Female",179,"5","6"
"180",2,85,0,"Male",180,"19","7"
"181",2,79,0,"Female",181,"4","7"
"182",2,77,0,"Female",182,"19","7"
"183",4,100,0,"Female",183,"19","7"
"184",5,95,0,"Male",184,"19","7"
"185",8,106,0,"Female",185,"19","7"
"186",5,116,0,"Female",186,"18","7"
"187",2,99,0,"Female",187,"19","7"
"188",10,132,0,"Male",188,"6","7"
"189",10,110,0,"Male",189,"18","7"
"190",9,101,20,"Male",190,"6","7"
"191",3,78,0,"Female",191,"19","7"
"192",4,102,20,"Male",192,"19","7"
"193",2,94,0,"Male",193,"19","7"
"194",7,89,0,"Female",194,"6","7"
"195",3,80,0,"Female",195,"19","7"
"196",4,89,0,"Female",196,"19","7"
"197",4,84,20,"Female",197,"6","7"
"198",6,105,0,"Female",198,"19","7"
"199",10,117,0,"Female",199,"19","7"
"200",7,102,20,"Male",200,"19","7"
"201",5,111,31,"Female",201,"18","7"
"202",2,77,0,"Male",202,"9","8"
"203",4,84,31,"Female",203,"9","8"
"204",3,96,20,"Male",204,"9","8"
"205",2,84,0,"Male",205,"9","8"
"206",1,88,0,"Female",206,"9","8"
"207",5,95,0,"Male",207,"1","8"
"208",2,72,0,"Male",208,"9","8"
"209",4,86,20,"Female",209,"9","8"
"210",9,102,31,"Male",210,"9","8"
"211",2,100,31,"Female",211,"9","8"
"212",6,96,0,"Female",212,"9","8"
"213",2,105,0,"Female",213,"9","8"
"214",1,81,0,"Female",214,"19","8"
"215",9,105,0,"Female",215,"9","8"
"216",2,76,0,"Male",216,"9","8"
"217",8,99,0,"Female",217,"19","9"
"218",2,75,1,"Female",218,"6","9"
"219",2,78,0,"Female",219,"19","9"
"220",2,77,0,"Male",220,"19","9"
"221",8,108,0,"Female",221,"19","9"
"222",8,104,0,"Female",222,"19","9"
"223",7,105,0,"Female",223,"19","9"
"224",3,83,20,"Male",224,"19","9"
"225",1,82,0,"Male",225,"3","9"
"226",10,113,0,"Female",226,"19","9"
"227",5,94,20,"Male",227,"19","9"
"228",3,88,0,"Female",228,"19","9"
"229",1,70,0,"Male",229,"19","9"
"230",6,102,0,"Female",230,"19","9"
"231",3,93,0,"Male",231,"19","9"
"232",6,99,0,"Male",232,"18","9"
"233",9,108,0,"Male",233,"18","9"
"234",2,70,0,"Male",234,"19","9"
"235",3,112,0,"Male",235,"19","9"
"236",2,85,0,"Male",236,"19","9"
"237",3,80,0,"Female",237,"19","9"
"238",4,77,0,"Female",238,"19","9"
"239",6,107,0,"Female",239,"19","9"
"240",10,98,20,"Male",240,"19","9"
"241",3,82,0,"Male",241,"19","9"
"242",4,82,20,"Female",242,"19","9"
"243",4,103,0,"Male",243,"19","9"
"244",6,111,0,"Female",244,"17","9"
"245",3,95,0,"Male",245,"19","9"
"246",5,99,0,"Male",246,"19","9"
"247",10,123,0,"Female",247,"19","9"
"248",2,83,0,"Female",248,"19","9"
"249",2,91,0,"Male",249,"1","9"
"250",2,86,20,"Male",250,"8","10"
"251",2,77,0,"Male",251,"8","10"
"252",10,103,20,"Female",252,"8","10"
"253",7,96,0,"Female",253,"8","10"
"254",2,93,0,"Female",254,"8","10"
"255",7,95,20,"Female",255,"8","10"
"256",2,81,0,"Male",256,"8","10"
"257",6,92,0,"Female",257,"8","10"
"258",2,75,0,"Female",258,"10","10"
