School1,School2,School3,School4,School5,School6,School7,School8,School9,School10,School11,School12,School13,School14,School15,School16,School17,School18,School19
Poor,Medium,Rich,Medium,Poor,Medium,Poor,Medium,Poor,Rich,Poor,Medium,Poor,Medium,Medium,Poor,Poor,Poor,Poor
Medium,Poor,Poor,Poor,Poor,Poor,Medium,Poor,Poor,Poor,Medium,Medium,Poor,Poor,Poor,Poor,Medium,Poor,Poor
Rich,Poor,Poor,Poor,Poor,Medium,Poor,Medium,Poor,Poor,Medium,Medium,Medium,Poor,Medium,Poor,Medium,Poor,Poor
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Medium,Medium,Medium,Poor,Poor,Poor,Poor,Medium
Poor,Poor,Medium,Medium,Medium,Poor,Poor,Medium,Poor,Medium,Medium,Medium,Poor,Medium,Poor,Poor,Medium,Poor,Poor
Poor,Medium,Poor,Medium,Medium,Poor,Poor,Rich,Poor,Poor,Medium,Poor,Medium,Poor,Rich,Poor,Poor,Poor,Poor
Poor,Poor,Medium,Poor,Poor,Poor,Poor,Poor,Medium,Medium,Medium,Poor,Poor,Medium,Medium,Rich,Medium,Poor,Poor
Poor,Medium,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Medium,Poor,Medium,Poor,Poor,Poor,Poor,Poor,Poor
Poor,Poor,Poor,Poor,Medium,Medium,Medium,Poor,Medium,Poor,Poor,Medium,Poor,Medium,Poor,Poor,Medium,Medium,Poor
Poor,Poor,Poor,Medium,Poor,Rich,Poor,Medium,Poor,Poor,Poor,Rich,Medium,Medium,Poor,Rich,Medium,Poor,Poor
Poor,Medium,Rich,Medium,Poor,Poor,Poor,Poor,Poor,Medium,Medium,Poor,Poor,Medium,Poor,Medium,Poor,Poor,Poor
Poor,Medium,Rich,Medium,Medium,Medium,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Medium,Poor,Poor,Medium,Poor,Medium
Rich,Poor,Medium,Medium,Poor,Poor,Poor,Rich,Poor,Rich,Rich,Medium,Poor,Poor,Poor,Poor,Medium,Poor,Poor
Rich,Poor,Rich,Rich,Medium,Medium,Poor,Poor,Medium,Poor,Medium,Medium,Poor,Medium,Medium,Poor,Medium,Poor,Poor
Medium,Rich,Poor,Medium,Poor,Poor,Poor,Poor,Poor,Medium,Rich,Poor,Poor,Poor,Poor,Rich,Rich,Poor,Poor
Poor,Medium,Poor,Rich,Medium,Medium,Medium,Poor,Poor,Medium,Medium,Medium,Medium,Poor,Poor,Poor,Poor,Poor,Poor
Poor,Medium,Poor,Poor,Poor,Medium,Medium,Medium,Rich,Poor,Medium,Medium,Poor,Poor,Poor,Poor,Medium,Medium,Poor
Poor,Medium,Rich,Poor,Medium,Medium,Medium,Poor,Poor,Poor,Medium,Poor,Poor,Rich,Rich,Poor,Medium,Poor,Poor
Poor,Medium,Rich,Poor,Medium,Poor,Poor,Poor,Poor,Medium,Poor,Poor,Poor,Medium,Poor,Poor,Poor,Poor,Poor
Poor,Poor,Poor,Poor,Medium,Medium,Poor,Poor,Rich,Poor,Medium,Poor,Poor,Poor,Poor,Medium,Poor,Poor,NA
Medium,Medium,Rich,Poor,Poor,Rich,Poor,Poor,Poor,Poor,Poor,Medium,Poor,Poor,Poor,Poor,Poor,Poor,NA
Poor,Poor,Poor,Poor,Poor,Rich,Poor,Poor,Medium,Medium,Poor,Poor,Medium,Medium,Medium,Medium,Rich,Poor,NA
Rich,Poor,Medium,Rich,Poor,Poor,Poor,Poor,Poor,Poor,Medium,Medium,Rich,Medium,Poor,Medium,Poor,Poor,NA
Medium,Poor,Medium,Rich,Rich,Medium,Medium,Poor,Poor,Medium,Medium,Poor,Rich,Medium,Poor,Poor,Poor,Poor,NA
Poor,Poor,Medium,Poor,Medium,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,NA
Poor,Medium,Medium,Poor,Medium,Medium,Poor,Medium,Medium,Medium,Poor,Poor,Medium,Poor,Rich,Rich,Medium,Poor,NA
Poor,Poor,Medium,Poor,Medium,Medium,Poor,Poor,Poor,Poor,Poor,Poor,Rich,Poor,Rich,Poor,Poor,Poor,NA
Poor,Poor,Poor,Poor,Medium,Medium,Medium,Poor,Rich,Medium,Poor,Medium,Medium,Poor,Poor,Poor,Medium,Medium,NA
Medium,Poor,Poor,Rich,Poor,Medium,Rich,Poor,Poor,Medium,Rich,Poor,Poor,Medium,Poor,Medium,Medium,Poor,NA
