"","SID","ID","GENDER","SOC","ACH_M3","group","ACH_P6","PID"
"1","9","1","Male","Poor",10,"high",111,"1"
"2","1","8","Male","Poor",6,"high",89,"1"
"3","9","12","Female","Poor",6,"high",98,"1"
"4","9","15","Female","Poor",6,"high",94,"1"
"5","1","17","Female","Medium",9,"high",101,"1"
"6","9","18","Male","Poor",10,"high",93,"1"
"7","9","21","Female","Poor",6,"high",91,"1"
"8","9","30","Male","Poor",10,"high",121,"1"
"9","1","37","Male","Rich",8,"high",101,"1"
"10","1","41","Female","Poor",6,"high",83,"1"
"11","9","42","Male","Medium",10,"high",102,"1"
"12","9","43","Female","Poor",9,"high",107,"1"
"13","9","44","Female","Medium",8,"high",109,"1"
"14","9","45","Male","Poor",6,"high",100,"1"
"15","9","47","Male","Poor",10,"high",103,"1"
"16","1","48","Female","Poor",6,"high",103,"1"
"17","9","49","Male","Poor",9,"high",112,"1"
"18","7","55","Female","Poor",10,"high",114,"2"
"19","7","58","Female","Medium",7,"high",89,"2"
"20","7","61","Female","Poor",10,"high",120,"2"
"21","5","62","Female","Poor",10,"high",99,"3"
"22","5","63","Male","Poor",10,"high",127,"3"
"23","5","64","Female","Poor",6,"high",100,"3"
"24","9","66","Female","Poor",6,"high",101,"4"
"25","9","68","Male","Medium",7,"high",103,"4"
"26","9","69","Male","Poor",9,"high",117,"4"
"27","9","70","Female","Poor",7,"high",102,"4"
"28","6","71","Female","Medium",10,"high",107,"4"
"29","1","79","Female","Poor",7,"high",102,"5"
"30","1","82","Female","Poor",8,"high",106,"5"
"31","1","83","Female","Poor",9,"high",106,"5"
"32","1","84","Male","Poor",6,"high",104,"5"
"33","1","89","Female","Poor",10,"high",102,"5"
"34","1","90","Female","Poor",7,"high",93,"5"
"35","1","91","Female","Poor",7,"high",93,"5"
"36","1","96","Female","Rich",7,"high",96,"5"
"37","1","97","Female","Rich",10,"high",101,"5"
"38","1","98","Female","Medium",10,"high",120,"5"
"39","1","101","Male","Poor",9,"high",101,"5"
"40","1","103","Female","Poor",6,"high",81,"5"
"41","1","105","Male","Poor",9,"high",100,"5"
"42","1","107","Male","Poor",10,"high",101,"5"
"43","1","112","Female","Poor",8,"high",111,"5"
"44","1","113","Male","Medium",9,"high",116,"5"
"45","1","116","Female","Poor",6,"high",106,"5"
"46","1","117","Female","Rich",10,"high",112,"5"
"47","1","121","Male","Medium",9,"high",107,"5"
"48","5","125","Male","Poor",9,"high",85,"6"
"49","5","128","Male","Medium",10,"high",110,"6"
"50","5","129","Male","Medium",9,"high",108,"6"
"51","5","130","Male","Poor",6,"high",98,"6"
"52","5","131","Female","Poor",7,"high",108,"6"
"53","5","132","Female","Medium",9,"high",96,"6"
"54","5","134","Female","Poor",10,"high",93,"6"
"55","5","135","Female","Poor",7,"high",99,"6"
"56","5","137","Male","Medium",10,"high",96,"6"
"57","5","140","Female","Poor",9,"high",98,"6"
"58","3","143","Male","Rich",6,"high",107,"6"
"59","5","148","Female","Medium",6,"high",103,"6"
"60","5","153","Male","Poor",10,"high",105,"6"
"61","5","154","Male","Medium",10,"high",127,"6"
"62","5","155","Male","Poor",6,"high",92,"6"
"63","5","156","Female","Medium",6,"high",99,"6"
"64","5","160","Male","Medium",8,"high",99,"6"
"65","5","161","Female","Medium",10,"high",118,"6"
"66","5","162","Female","Poor",6,"high",95,"6"
"67","5","165","Female","Poor",9,"high",89,"6"
"68","5","167","Female","Poor",10,"high",107,"6"
"69","5","168","Male","Rich",8,"high",99,"6"
"70","5","169","Female","Medium",9,"high",99,"6"
"71","1","171","Male","Poor",9,"high",114,"6"
"72","5","173","Male","Medium",10,"high",98,"6"
"73","5","174","Male","Medium",8,"high",96,"6"
"74","5","175","Male","Medium",8,"high",89,"6"
"75","5","176","Male","Poor",8,"high",106,"6"
"76","5","178","Female","Medium",10,"high",107,"6"
"77","5","179","Female","Poor",10,"high",118,"6"
"78","19","185","Female","Poor",8,"high",106,"7"
"79","6","188","Male","Poor",10,"high",132,"7"
"80","18","189","Male","Poor",10,"high",110,"7"
"81","6","190","Male","Medium",9,"high",101,"7"
"82","6","194","Female","Poor",7,"high",89,"7"
"83","19","198","Female","Poor",6,"high",105,"7"
"84","19","199","Female","Poor",10,"high",117,"7"
"85","19","200","Male","Medium",7,"high",102,"7"
"86","9","210","Male","Rich",9,"high",102,"8"
"87","9","212","Female","Poor",6,"high",96,"8"
"88","9","215","Female","Poor",9,"high",105,"8"
"89","19","217","Female","Poor",8,"high",99,"9"
"90","19","221","Female","Poor",8,"high",108,"9"
"91","19","222","Female","Poor",8,"high",104,"9"
"92","19","223","Female","Poor",7,"high",105,"9"
"93","19","226","Female","Poor",10,"high",113,"9"
"94","19","230","Female","Poor",6,"high",102,"9"
"95","18","232","Male","Poor",6,"high",99,"9"
"96","18","233","Male","Poor",9,"high",108,"9"
"97","19","239","Female","Poor",6,"high",107,"9"
"98","19","240","Male","Medium",10,"high",98,"9"
"99","17","244","Female","Poor",6,"high",111,"9"
"100","19","247","Female","Poor",10,"high",123,"9"
"101","8","252","Female","Medium",10,"high",103,"10"
"102","8","253","Female","Poor",7,"high",96,"10"
"103","8","255","Female","Medium",7,"high",95,"10"
"104","8","257","Female","Poor",6,"high",92,"10"
"105","8","262","Female","Medium",10,"high",129,"10"
"106","8","264","Male","Rich",10,"high",132,"10"
"107","8","267","Female","Poor",7,"high",96,"10"
"108","1","268","Male","Poor",9,"high",114,"11"
"109","1","273","Male","Poor",10,"high",129,"11"
"110","1","275","Male","Poor",10,"high",110,"11"
"111","1","276","Female","Medium",7,"high",110,"11"
"112","1","277","Female","Medium",8,"high",104,"11"
"113","1","279","Female","Poor",8,"high",101,"11"
"114","2","282","Female","Medium",8,"high",116,"12"
"115","2","285","Male","Poor",6,"high",100,"12"
"116","2","297","Male","Poor",6,"high",101,"12"
"117","2","299","Female","Poor",10,"high",109,"12"
"118","2","300","Female","Poor",8,"high",106,"12"
"119","4","302","Female","Medium",7,"high",101,"13"
"120","4","303","Female","Poor",9,"high",123,"13"
"121","4","305","Male","Poor",10,"high",109,"13"
"122","4","306","Female","Poor",9,"high",120,"13"
"123","4","307","Male","Medium",10,"high",126,"13"
"124","4","308","Female","Medium",10,"high",116,"13"
"125","4","309","Female","Poor",9,"high",102,"13"
"126","4","310","Male","Poor",7,"high",90,"13"
"127","4","312","Male","Poor",10,"high",108,"13"
"128","4","313","Male","Medium",10,"high",110,"13"
"129","4","315","Male","Medium",6,"high",103,"13"
"130","4","319","Female","Medium",10,"high",109,"13"
"131","4","320","Male","Medium",9,"high",104,"13"
"132","4","321","Female","Rich",6,"high",105,"13"
"133","4","322","Female","Medium",10,"high",123,"13"
"134","4","325","Female","Rich",10,"high",119,"13"
"135","4","326","Male","Poor",10,"high",111,"13"
"136","2","331","Male","Medium",6,"high",100,"14"
"137","6","332","Female","Poor",6,"high",99,"14"
"138","2","333","Female","Poor",6,"high",103,"14"
"139","2","335","Female","Medium",10,"high",111,"14"
"140","2","336","Female","Poor",6,"high",110,"14"
"141","2","338","Female","Poor",10,"high",113,"14"
"142","6","339","Female","Poor",7,"high",108,"14"
"143","2","341","Female","Medium",6,"high",116,"14"
"144","2","343","Female","Medium",9,"high",114,"14"
"145","2","344","Female","Poor",6,"high",93,"14"
"146","6","347","Female","Poor",10,"high",116,"14"
"147","2","348","Male","Poor",7,"high",102,"14"
"148","2","349","Male","Rich",9,"high",107,"14"
"149","2","350","Male","Medium",9,"high",116,"14"
"150","2","351","Female","Medium",10,"high",118,"14"
"151","2","353","Female","Medium",9,"high",90,"14"
"152","2","357","Male","Medium",8,"high",116,"14"
"153","2","359","Male","Poor",10,"high",106,"14"
"154","2","362","Male","Medium",10,"high",118,"14"
"155","2","364","Female","Poor",9,"high",100,"14"
"156","2","366","Male","Poor",7,"high",92,"14"
"157","2","367","Female","Poor",7,"high",98,"14"
"158","2","368","Female","Poor",10,"high",104,"14"
"159","2","369","Female","Medium",10,"high",104,"14"
"160","2","370","Male","Poor",10,"high",107,"14"
"161","2","371","Male","Poor",9,"high",115,"14"
"162","4","373","Female","Poor",6,"high",90,"15"
"163","4","375","Male","Poor",8,"high",104,"15"
"164","4","376","Male","Poor",8,"high",107,"15"
"165","4","378","Male","Poor",9,"high",102,"15"
"166","4","380","Male","Poor",6,"high",83,"15"
"167","4","383","Male","Rich",6,"high",77,"15"
"168","4","385","Female","Rich",10,"high",107,"15"
"169","4","387","Male","Poor",10,"high",114,"15"
"170","4","388","Female","Poor",8,"high",108,"15"
"171","4","390","Male","Poor",6,"high",108,"15"
"172","4","391","Female","Poor",9,"high",108,"15"
"173","4","392","Female","Rich",8,"high",107,"15"
"174","4","394","Male","Medium",9,"high",112,"15"
"175","4","396","Female","Poor",6,"high",92,"15"
"176","4","397","Female","Poor",10,"high",116,"15"
"177","4","400","Male","Rich",10,"high",111,"15"
"178","6","402","Female","Poor",6,"high",102,"15"
"179","7","406","Female","Poor",6,"high",113,"16"
"180","7","409","Female","Poor",6,"high",115,"16"
"181","7","410","Female","Poor",10,"high",119,"16"
